Country,Gender
Albania,M
Albania,F
Albania,F
Albania,M
Andorra,F
Armenia,M
Austria,M
Azerbaijan,F
Azerbaijan,F
Belarus,F
Belgium,M
Belgium,F
Belgium,F
Belgium,M
Belgium,F
Belgium,M
Belgium,M
Belgium,F
Bosnia and Herzegovina,F
Bulgaria,F
Bulgaria,NB
Bulgaria,M
Bulgaria,F
Bulgaria,F
Bulgaria,M
Bulgaria,F
Bulgaria,M
Bulgaria,M
Bulgaria,F
Bulgaria,F
Bulgaria,F
Bulgaria,M
Bulgaria,F
Bulgaria,F
Bulgaria,M
Bulgaria,F
Bulgaria,M
Bulgaria,M
Bulgaria,F
Bulgaria,F
Bulgaria,F
Bulgaria,NB
Bulgaria,M
Croatia,F
Croatia,F
Croatia,M
Croatia,F
Croatia,M
Croatia,M
Croatia,F
Croatia,F
Croatia,F
Croatia,M
Croatia,F
Croatia,F
Croatia,M
Croatia,F
Croatia,M
Croatia,M
Croatia,F
Croatia,F
Croatia,F
Croatia,NB
Croatia,M
Croatia,F
Croatia,F
Croatia,M
Croatia,F
Croatia,M
Croatia,M
Croatia,F
Croatia,F
Croatia,F
Croatia,M
Croatia,F
Croatia,F
Croatia,M
Croatia,F
Croatia,M
Croatia,M
Croatia,F
Croatia,F
Croatia,F
Croatia,NB
Croatia,M
Croatia,F
Croatia,F
Croatia,M
Croatia,F
Croatia,M
Croatia,M
Croatia,F
Cyprus,F
Cyprus,F
Cyprus,M
Czech Republic,F
Czech Republic,F
Czech Republic,M
Czech Republic,F
Czech Republic,M
Czech Republic,M
Czech Republic,F
Czech Republic,F
Czech Republic,F
Czech Republic,NB
Czech Republic,M
Czech Republic,F
Czech Republic,F
Czech Republic,M
Czech Republic,F
Czech Republic,M
Czech Republic,M
Denmark,F
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,M
Denmark,M
Denmark,F
Denmark,F
Denmark,F
Denmark,NB
Denmark,M
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,M
Denmark,M
Denmark,F
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,M
Denmark,M
Denmark,F
Denmark,F
Denmark,F
Denmark,NB
Denmark,M
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,M
Denmark,M
Denmark,F
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,F
Denmark,M
Denmark,F
Denmark,M
Estonia,M
Estonia,F
Estonia,F
Estonia,F
Estonia,NB
Estonia,M
Estonia,F
Finland,F
Finland,M
Finland,F
Finland,M
France,M
France,F
France,F
France,F
France,M
France,F
France,F
France,M
France,F
France,M
France,M
France,F
France,F
France,F
France,NB
France,M
France,F
France,F
France,M
France,F
France,M
France,M
France,F
France,F
France,F
France,M
France,F
France,F
France,M
Georgia,F
Georgia,M
Georgia,M
Georgia,F
Georgia,F
Georgia,F
Georgia,NB
Georgia,M
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,M
Georgia,M
Georgia,F
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,M
Georgia,M
Georgia,F
Georgia,F
Georgia,F
Georgia,NB
Georgia,M
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,M
Georgia,M
Georgia,F
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,M
Georgia,M
Georgia,F
Georgia,F
Georgia,F
Georgia,NB
Georgia,M
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,M
Georgia,M
Georgia,F
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,F
Georgia,M
Georgia,F
Georgia,M
Georgia,M
Georgia,F
Georgia,F
Georgia,F
Germany,NB
Germany,M
Germany,F
Germany,F
Germany,M
Germany,F
Germany,M
Germany,M
Germany,F
Germany,F
Germany,F
Germany,M
Germany,F
Germany,F
Germany,M
