Country,Country2,Gender
Albania,Albania,M
Albania,Albania,F
Albania,Andorra,F
Albania,Andorra,M
Andorra,Andorra,F
Armenia,Armenia,M
Austria,Armenia,M
Azerbaijan,Armenia,F
Azerbaijan,Armenia,F
Belarus,Armenia,F
Belgium,Armenia,M
Belgium,Armenia,F
Belgium,Armenia,F
Belgium,Armenia,M
Belgium,Armenia,F
Belgium,Armenia,M
Belgium,Armenia,M
Belgium,Armenia,F
Bosnia and Herzegovina,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,NB
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,M
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bosnia and Herzegovina,F
Bulgaria,Bulgaria,NB
Bulgaria,Bulgaria,M
Croatia,Croatia,F
Croatia,Croatia,F
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,NB
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,NB
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,F
Croatia,Cyprus,M
Croatia,Cyprus,M
Croatia,Cyprus,F
Cyprus,Cyprus,F
Cyprus,Cyprus,F
Cyprus,Cyprus,M
Czech Republic,Czech Republic,F
Czech Republic,Czech Republic,F
Czech Republic,Czech Republic,M
Czech Republic,Czech Republic,F
Czech Republic,Czech Republic,M
Czech Republic,Czech Republic,M
Czech Republic,Czech Republic,F
Czech Republic,Denmark,F
Czech Republic,Denmark,F
Czech Republic,Denmark,NB
Czech Republic,Denmark,M
Czech Republic,Denmark,F
Czech Republic,Denmark,F
Czech Republic,Denmark,M
Czech Republic,Denmark,F
Czech Republic,Estonia,M
Czech Republic,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,NB
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,NB
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,F
Denmark,Estonia,M
Denmark,Estonia,F
Denmark,Estonia,M
Estonia,Estonia,M
Estonia,Estonia,F
Estonia,Estonia,F
Estonia,Estonia,F
Estonia,Estonia,NB
Estonia,Estonia,M
Estonia,Estonia,F
Finland,Finland,F
Finland,Finland,M
Finland,Finland,F
Finland,Finland,M
France,Finland,M
France,Finland,F
France,Finland,F
France,Finland,F
France,Finland,M
France,Finland,F
France,Finland,F
France,Finland,M
France,Finland,F
France,Finland,M
France,Finland,M
France,Finland,F
France,Finland,F
France,Finland,F
France,Finland,NB
France,Finland,M
France,Finland,F
France,Finland,F
France,Finland,M
France,Finland,F
France,Finland,M
France,Finland,M
France,Finland,F
France,Finland,F
France,Finland,F
France,Finland,M
France,Finland,F
France,Finland,F
France,Finland,M
Georgia,Finland,F
Georgia,Finland,M
Georgia,Finland,M
Georgia,Finland,F
Georgia,Finland,F
Georgia,Finland,F
Georgia,Finland,NB
Georgia,Finland,M
Georgia,Finland,F
Georgia,Finland,F
Georgia,Finland,M
Georgia,Finland,F
Georgia,Finland,M
Georgia,Finland,M
Georgia,Finland,F
Georgia,Finland,F
Georgia,Finland,F
Georgia,Finland,M
Georgia,Finland,F
Georgia,Finland,F
Georgia,Finland,M
Georgia,Finland,F
Georgia,France,M
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,F
Georgia,France,NB
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,M
Georgia,France,F
Georgia,France,M
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,F
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,M
Georgia,France,F
Georgia,France,M
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,F
Georgia,France,NB
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,M
Georgia,France,F
Georgia,France,M
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,F
Georgia,France,M
Georgia,France,F
Georgia,France,F
Georgia,France,M
Georgia,Georgia,F
Georgia,Georgia,M
Georgia,Georgia,M
Georgia,Georgia,F
Georgia,Georgia,F
Georgia,Georgia,F
Germany,Germany,NB
Germany,Germany,M
Germany,Germany,F
Germany,Germany,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,M
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
